ID	Site	Domain	Final_Status	Pipeline_PR	PR_State	Branch_Action
87	myheritage	myheritage.com	final	#109	open-ready	keep-existing-sites-branch
88	ollie	myollie.com	final	#18	open-draft	keep-existing-sites-branch
89	olaplex	olaplex.com	final	#41	open-ready	keep-existing-sites-branch
90	opentable	opentable.com	final	#111	open-draft	keep-existing-sites-branch
91	outschool	outschool.com	not-final	#39	open-ready	migrate-pr-head-to-sites-branch
92	overleaf	overleaf.com	final	#23	open-ready	keep-existing-sites-branch
93	paulas-choice	paulaschoice.com	not-final	#31	open-ready	migrate-pr-head-to-sites-branch
94	pawp	pawp.com	not-final		no-pr	create-planned-empty-sites-branch
95	petfinder	petfinder.com	final	#94	open-draft	keep-existing-sites-branch
96	petsmart	petsmart.com	final	#118	open-draft	keep-existing-sites-branch
97	plooto	plooto.com	not-final		no-pr	create-planned-empty-sites-branch
98	race-roster	raceroster.com	not-final		no-pr	create-planned-empty-sites-branch
99	ratemyprofessors	ratemyprofessors.com	not-final	#6	open-draft	migrate-pr-head-to-sites-branch
100	ftc-reportfraud	reportfraud.ftc.gov	not-final		no-pr	create-planned-empty-sites-branch
101	parks-canada-reservations	reservation.pc.gc.ca	not-final		no-pr	create-planned-empty-sites-branch
102	ontario-parks	reservations.ontarioparks.ca	not-final		no-pr	create-planned-empty-sites-branch
103	resy	resy.com	final	#68	open-ready	keep-existing-sites-branch
104	rockauto	rockauto.com	final	#67	open-ready	keep-existing-sites-branch
105	roomsketcher	roomsketcher.com	final	#64	open-ready	keep-existing-sites-branch
106	rover	rover.com	final	#69	open-ready	keep-existing-sites-branch
107	semantic-scholar	semanticscholar.org	not-final	#34	open-ready	migrate-pr-head-to-sites-branch
108	simplify-jobs	simplify.jobs	not-final	#130	open-ready	migrate-pr-head-to-sites-branch
109	sixt	sixt.com	final	#71	open-ready	keep-existing-sites-branch
110	soko-glam	sokoglam.com	final	#73	open-ready	keep-existing-sites-branch
111	spirit-airlines	spirit.com	not-final		no-pr	create-planned-empty-sites-branch
112	spirit-rock	spiritrock.org	not-final	#37	open-ready	migrate-pr-head-to-sites-branch
113	squarespace	squarespace.com	not-final		no-pr	create-planned-empty-sites-branch
114	stubhub	stubhub.ca	not-final		no-pr	create-planned-empty-sites-branch
115	stumptown-coffee	stumptowncoffee.com	not-final		no-pr	create-planned-empty-sites-branch
116	styleseat	styleseat.com	not-final	#36	open-ready	migrate-pr-head-to-sites-branch
117	substack	substack.com	not-final	#29	open-ready	migrate-pr-head-to-sites-branch
118	sur-la-table	surlatable.com	not-final		no-pr	create-planned-empty-sites-branch
119	taskrabbit	taskrabbit.com	final	#95	open-draft	keep-existing-sites-branch
120	the-ordinary	theordinary.com	not-final		no-pr	create-planned-empty-sites-branch
121	ticketmaster	ticketmaster.ca	not-final		no-pr	create-planned-empty-sites-branch
122	todoist	todoist.com	not-final		no-pr	create-planned-empty-sites-branch
123	topgolf	topgolf.com	not-final		no-pr	create-planned-empty-sites-branch
124	trello	trello.com	not-final		no-pr	create-planned-empty-sites-branch
125	trezor	trezor.io	not-final		no-pr	create-planned-empty-sites-branch
126	tripadvisor	tripadvisor.com	final	#65	open-ready	keep-existing-sites-branch
127	trustpilot	trustpilot.com	final	#70	open-ready	keep-existing-sites-branch
128	typeform	typeform.com	not-final	#38	open-ready	migrate-pr-head-to-sites-branch
129	uber-eats	ubereats.com	final		no-pr	keep-existing-sites-branch
130	udemy	udemy.com	not-final		no-pr	create-planned-empty-sites-branch
131	ulta-beauty	ulta.com	not-final	#42	open-ready	migrate-pr-head-to-sites-branch
132	uncommon-goods	uncommongoods.com	not-final		no-pr	create-planned-empty-sites-branch
133	untappd	untappd.com	final	#119	open-draft	keep-existing-sites-branch
134	vistaprint	vistaprint.com	not-final		no-pr	create-planned-empty-sites-branch
135	vivid-seats	vividseats.com	not-final		no-pr	create-planned-empty-sites-branch
136	vivino	vivino.com	not-final	#32	open-ready	migrate-pr-head-to-sites-branch
137	wag	wagwalking.com	not-final		no-pr	create-planned-empty-sites-branch
138	webflow	webflow.com	not-final		no-pr	create-planned-empty-sites-branch
139	make-a-wish	wish.org	not-final	#27	open-ready	migrate-pr-head-to-sites-branch
140	wix	wix.com	final	#127	open-ready	keep-existing-sites-branch
141	workable	workable.com	final		no-pr	keep-existing-sites-branch
142	zillow	zillow.com	not-final		no-pr	create-planned-empty-sites-branch
143	ziprecruiter	ziprecruiter.com	not-final		no-pr	create-planned-empty-sites-branch
144	zotero	zotero.org	not-final		no-pr	create-planned-empty-sites-branch
145	target	target.com	not-final	#85	open-ready	migrate-pr-head-to-sites-branch
146	costco	costco.com	not-final		no-pr	create-planned-empty-sites-branch
147	wayfair	wayfair.com	not-final		no-pr	create-planned-empty-sites-branch
148	mercari	mercari.com	not-final		no-pr	create-planned-empty-sites-branch
149	kayak	kayak.com	not-final		no-pr	create-planned-empty-sites-branch
150	google-flights	google.com/travel/flights	not-final	#75	open-ready	migrate-pr-head-to-sites-branch
151	vrbo	vrbo.com	not-final	#77	open-ready	migrate-pr-head-to-sites-branch
152	khan-academy	khanacademy.org	not-final		no-pr	create-planned-empty-sites-branch
153	quizlet	quizlet.com	not-final		no-pr	create-planned-empty-sites-branch
154	chewy	chewy.com	not-final		no-pr	create-planned-empty-sites-branch
155	yelp	yelp.com	not-final	#103	open-ready	migrate-pr-head-to-sites-branch
156	letterboxd	letterboxd.com	not-final		no-pr	create-planned-empty-sites-branch
157	gitlab	gitlab.com	not-final		no-pr	create-planned-empty-sites-branch
158	bitbucket	bitbucket.org	not-final		no-pr	create-planned-empty-sites-branch
159	stack-overflow	stackoverflow.com	not-final	#108	open-ready	migrate-pr-head-to-sites-branch
160	npm	npmjs.com	not-final	#128	open-ready	migrate-pr-head-to-sites-branch
161	notion	notion.so	final		no-pr	keep-existing-sites-branch
162	fiverr	fiverr.com	not-final	#101	open-ready	migrate-pr-head-to-sites-branch
163	upwork	upwork.com	not-final		no-pr	create-planned-empty-sites-branch
164	redfin	redfin.com	not-final		no-pr	create-planned-empty-sites-branch
165	coinbase	coinbase.com	not-final		no-pr	create-planned-empty-sites-branch
166	fidelity	fidelity.com	not-final		no-pr	create-planned-empty-sites-branch
167	canva	canva.com	not-final	#78	open-ready	migrate-pr-head-to-sites-branch
168	figma	figma.com	not-final	#79	open-ready	migrate-pr-head-to-sites-branch
169	medium	medium.com	final	#116	open-ready	keep-existing-sites-branch
170	wordpress	wordpress.com	not-final	#81	open-ready	migrate-pr-head-to-sites-branch
171	spotify	spotify.com	final	#66	open-ready	keep-existing-sites-branch
172	netflix	netflix.com	not-final	#82	open-ready	migrate-pr-head-to-sites-branch
173	slack	slack.com	not-final	#87	open-ready	migrate-pr-head-to-sites-branch
174	discord	discord.com	not-final	#86	open-ready	migrate-pr-head-to-sites-branch
175	patreon	patreon.com	not-final	#35	open-ready	migrate-pr-head-to-sites-branch
176	kickstarter	kickstarter.com	final	#117	open-ready	keep-existing-sites-branch
177	greenhouse	greenhouse.io	final	#9	open-draft	keep-existing-sites-branch
178	google-scholar	scholar.google.com	final	#100	open-ready	keep-existing-sites-branch
179	hackerrank	hackerrank.com	not-final		no-pr	create-planned-empty-sites-branch
180	meetup	meetup.com	final	#105	open-draft	keep-existing-sites-branch
181	boardgamegeek	boardgamegeek.com	not-final	#102	open-ready	migrate-pr-head-to-sites-branch
182	change	change.org	final		no-pr	keep-existing-sites-branch
183	eatthismuch	eatthismuch.com	not-final		no-pr	create-planned-empty-sites-branch
184	etsy	etsy.com	final		no-pr	keep-existing-sites-branch
185	habitica	habitica.com	not-final	#28	open-ready	migrate-pr-head-to-sites-branch
186	handy	handy.com	not-final		no-pr	create-planned-empty-sites-branch
187	imdb	imdb.com	final		no-pr	keep-existing-sites-branch
188	myrecipes	myrecipes.com	not-final	#26	open-ready	migrate-pr-head-to-sites-branch
189	ravelry	ravelry.com	not-final	#33	open-ready	migrate-pr-head-to-sites-branch
190	redcross	redcross.org	not-final		no-pr	create-planned-empty-sites-branch
191	strava	strava.com	not-final		no-pr	create-planned-empty-sites-branch
192	trakt	trakt.tv	not-final	#30	open-ready	migrate-pr-head-to-sites-branch
193	tripit	tripit.com	final		no-pr	keep-existing-sites-branch
194	weworkremotely	weworkremotely.com	not-final		no-pr	create-planned-empty-sites-branch
195	when2meet	when2meet.com	not-final	#25	open-ready	migrate-pr-head-to-sites-branch
196	linkedin	linkedin.com	final		no-pr	keep-existing-sites-branch
197	amazon	amazon.com	final		no-pr	keep-existing-sites-branch
201	walmart	walmart.com	not-final	#120	open-ready	migrate-pr-head-to-sites-branch
202	bestbuy	bestbuy.com	not-final	#124	open-ready	migrate-pr-head-to-sites-branch
203	ikea	ikea.com	not-final		no-pr	create-planned-empty-sites-branch
204	macys	macys.com	not-final		no-pr	create-planned-empty-sites-branch
205	nordstrom	nordstrom.com	not-final		no-pr	create-planned-empty-sites-branch
